,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
2379,500000,2,1,1,41,0,0,0,0,0,0,190730,194336,197284,199489,201484,204017,8501,8001,6701,6321,6401,6379,0
5644,500000,1,1,1,42,1,1,0,0,0,0,9615,9996,177741,163299,159110,135658,1054,177080,4425,5666,4825,100225,0
15775,50000,2,2,1,24,0,0,0,-2,-2,-2,25207,25435,0,0,0,0,1000,0,0,0,0,0,0
22779,350000,2,1,1,41,-2,-2,-2,-2,-2,-2,5037,14994,3101,17321,-22,4443,15069,3116,17414,0,4465,9434,0
16830,50000,1,2,1,46,0,0,0,0,0,0,43719,44290,41245,42081,20328,20391,1700,1924,2015,1000,663,10000,0
1060,60000,2,3,1,34,0,0,0,2,0,0,9928,11261,12853,12352,12703,13338,1500,2090,0,700,1000,1400,1
3520,180000,1,1,1,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,4003,0
1056,190000,2,1,2,33,1,2,0,0,0,0,115056,108137,89722,69861,49894,49727,0,4413,2942,2000,1583,1500,0
22237,220000,2,1,1,33,0,0,0,0,0,0,199040,182158,143895,147039,152384,159631,10032,7000,7500,10000,10000,7000,0
12105,200000,2,1,2,59,0,0,0,0,0,0,180887,166921,155945,109271,36753,78079,10000,30000,7,7000,73000,700,0
778,50000,2,1,1,32,2,0,0,-1,0,-1,47858,49223,42589,639,4639,2312,2500,3000,7000,4000,2413,2000,1
29711,30000,1,2,2,38,0,0,2,2,2,2,29770,27400,28935,28934,30313,30330,6000,2273,780,2635,1033,611,0
110,330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0
25379,20000,2,3,1,26,0,0,0,0,0,0,13548,14919,17057,13450,7944,780,1605,3130,1275,159,0,0,0
336,260000,2,1,2,30,0,0,0,0,0,0,156882,160246,159988,158114,158762,159108,10000,8000,6000,7000,7000,6000,0
19807,60000,2,2,1,37,0,0,0,0,0,0,38670,37606,35189,31373,28455,26598,1606,1674,1420,937,1006,1039,0
674,320000,2,1,1,41,0,0,0,0,0,0,97797,99672,101953,102284,104090,105859,4520,5050,3590,3700,3750,3510,0
9957,30000,2,2,1,33,2,0,0,2,2,0,31947,31564,34804,33808,31740,31135,1872,5550,1238,0,1515,4665,1
27568,210000,1,2,1,53,1,-1,2,-1,-1,-1,-197,3195,1821,1683,0,1986,3392,2,1683,0,1986,1188,0
16095,140000,2,2,1,36,1,2,3,2,0,0,59379,63007,61459,59798,61287,8383,5200,0,0,3009,1000,94000,0
25975,300000,2,2,2,34,0,0,0,0,0,0,297890,216495,221737,224774,182544,92014,7800,8705,8500,6820,2700,3200,0
25482,200000,2,1,2,29,0,0,-1,0,0,0,7298,1467,439,2257,43720,43968,1000,439,2000,42000,1700,2000,0
20251,90000,2,3,1,54,-2,-2,-2,-2,-2,-2,0,0,0,0,1805,0,0,0,0,1805,0,0,1
14621,500000,2,1,2,27,-1,-1,-1,-2,-2,-1,33299,60857,26324,26091,9558,4242,60957,27056,26096,9605,4242,930,0
1871,50000,2,1,2,26,0,0,0,0,0,0,41003,42032,42699,43617,44509,45420,1733,1400,1300,1271,1300,4500,0
25695,270000,2,1,2,34,0,0,2,0,0,0,67544,54523,18865,44908,19508,15860,4025,5,34000,0,0,0,0
25900,500000,2,2,2,28,0,0,0,0,0,0,234957,215459,201715,141177,130352,126422,8086,7412,4721,3854,3622,3433,0
8489,180000,2,2,2,34,-1,-1,-1,-1,-1,-1,194,191,187,176,188,187,200,187,180,200,187,750,0
8065,70000,2,2,1,44,0,0,0,0,0,0,79867,79593,29340,28026,28605,28705,2163,2000,2000,1000,5000,322,0
1574,230000,2,3,1,43,1,-1,2,-1,0,-1,0,3832,1823,3646,1823,1823,5655,0,3646,0,1823,1823,0
21086,60000,1,2,2,42,0,0,0,-1,0,0,78291,70154,69940,60170,29261,30233,3000,1405,60941,1056,2100,1101,0
4226,320000,1,1,1,43,-1,-1,-1,0,0,-1,3274,86251,14857,12157,8690,4166,86682,14871,260,43,4186,904,1
28710,60000,2,2,1,39,0,0,0,0,0,0,32734,32234,32136,31204,30330,29934,1506,1881,1422,1021,1500,1056,0
504,30000,1,6,1,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
5792,190000,2,2,2,26,-1,-1,-1,-1,-1,-1,11613,10000,10000,10000,10000,10941,10000,10000,10000,10000,10941,79027,0
10886,120000,2,3,1,47,0,0,0,0,0,0,16224,16085,17677,16450,18407,15841,2001,2317,1002,3009,1000,1000,0
9967,30000,2,2,2,24,0,0,0,2,0,0,18220,20606,22880,22217,23694,24151,3000,2620,0,2000,1000,1000,0
4197,160000,2,2,2,25,-1,-1,-1,-1,-1,-1,21570,7501,10703,12448,2129,24461,7545,10841,12448,2141,24603,16897,0
28837,340000,2,1,1,46,0,0,0,0,0,0,94915,92955,89689,81996,83439,71239,3224,4000,3504,4349,3000,3098,0
17299,260000,2,2,1,36,0,0,0,0,0,0,59127,60344,61641,60715,57116,58318,2200,2300,2200,2060,2119,2293,0
19578,220000,2,2,1,32,0,0,0,0,0,0,28853,29145,27171,22067,17831,15671,2000,4000,1420,2000,3000,30789,0
28378,260000,2,5,2,39,0,0,0,0,0,0,174591,175093,176088,155624,141976,141305,10000,10000,7619,7000,8000,7000,0
15515,140000,1,3,1,37,-1,-1,-1,-1,-1,-1,13806,1003,1170,1003,1003,1003,1003,1170,1003,1003,1003,1003,1
20572,30000,1,3,2,28,0,0,0,0,2,2,22634,23638,24689,28809,30052,29057,1385,1440,4560,2001,1,1228,1
2302,60000,2,1,1,29,0,0,0,3,2,2,51855,53220,59244,57889,59017,56637,2200,7000,0,2013,7577,13,0
26282,460000,2,2,1,40,0,0,0,0,0,0,133102,126956,126758,121857,122830,90219,5015,5032,4407,4040,3001,3109,0
5171,70000,1,3,1,46,2,2,2,2,2,2,29258,31137,32855,33316,34137,33439,2352,2531,1300,1500,0,1400,1
27047,140000,1,1,2,36,2,0,0,0,0,0,75384,74177,65336,53578,49288,43870,4000,4000,3500,2000,2500,1800,1
16506,150000,1,2,2,23,2,0,0,-1,0,0,17635,151686,147474,7474,8173,87500,135018,3000,120000,823,80000,3684,1
4497,210000,1,1,1,38,1,-2,-1,0,-1,-1,-9,-9,1739,1739,475,475,0,1748,0,800,475,975,1
13897,80000,1,2,1,54,1,3,2,2,2,0,47339,47270,46037,48457,47722,48678,967,0,3012,0,1569,1396,0
7513,490000,2,1,2,29,-2,-1,-1,0,0,0,4301,16230,28800,27870,27540,27630,16388,28800,0,0,6136,3080,0
6590,400000,2,2,1,42,-2,-2,-1,0,0,0,0,641,1290,1319,694,697,641,1290,29,0,3,703,0
24102,50000,1,2,1,29,1,2,0,0,0,2,23451,22781,24108,25203,26681,26117,0,2000,1800,2200,0,2250,1
24083,110000,1,1,2,28,0,0,0,0,0,0,102282,104196,105922,108820,66883,68083,5200,5000,5000,2100,2000,2000,0
24938,210000,1,1,1,40,2,2,2,2,2,0,151258,141669,134301,124218,110114,101559,5000,7000,4200,0,4000,6500,1
15620,180000,2,2,1,40,0,0,0,0,-2,-2,22523,20831,1537,-43,-43,-43,2045,1000,0,0,0,0,0
25839,70000,2,3,2,42,0,0,2,0,0,0,69362,71775,70050,70415,48405,46514,6000,0,3000,1000,1500,2000,1
21834,140000,2,2,1,27,0,0,0,0,0,0,125792,126771,132730,124689,105447,106704,5000,10000,5000,5000,5000,5000,0
16786,90000,1,2,2,29,0,0,0,-2,-2,-2,70559,51550,0,0,0,0,3000,0,0,0,0,0,0
29980,50000,1,3,2,42,0,0,0,0,0,0,43998,49123,49397,50360,19971,19694,10000,4000,5000,3000,4500,2000,0
29889,340000,1,2,1,37,0,0,0,0,0,0,71934,78695,80831,81589,83546,85362,8000,4000,3000,3300,3300,4000,0
12479,60000,2,2,1,37,0,0,0,0,0,0,60655,60281,59968,40377,40679,40493,2410,2203,1500,1600,1500,1400,0
3371,140000,2,2,1,36,0,0,0,0,0,0,45849,46909,47928,48731,49793,50812,2100,2100,1900,2000,2000,2100,0
23895,130000,1,2,2,29,1,2,2,2,2,2,88766,91466,93182,90851,96576,98452,5000,4000,0,7200,3500,3600,1
1128,160000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
27515,140000,1,3,1,59,-1,-1,-1,-1,-1,-1,2859,3447,0,2061,0,3035,3447,0,2061,0,3035,2302,0
18253,350000,1,1,1,55,-1,-1,-1,-1,-1,-1,3297,11634,12952,39274,5474,14837,11637,12991,39278,6000,14837,931,0
14061,500000,1,1,1,44,-1,-1,-1,-1,-1,-1,6723,17385,32046,32530,18896,17049,17410,32077,32579,18914,17069,16738,0
21918,70000,2,2,1,24,0,0,0,0,0,0,8193,7569,8127,8838,8736,10753,1122,2127,2000,1736,2753,2177,0
25787,160000,2,2,1,37,0,0,2,0,0,0,45966,48783,47681,46039,47197,46683,3900,0,1742,1900,1703,3612,0
18879,300000,2,1,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
5481,150000,2,2,1,39,-1,0,0,0,0,-1,12365,58266,40921,24053,25856,77913,53444,20144,14182,16819,78287,15679,0
7300,10000,2,1,2,26,0,-1,-1,0,0,0,9459,231,3364,6129,9009,9188,231,5000,3000,3000,329,340,0
28600,130000,2,3,2,40,0,0,0,0,-2,-2,98874,99363,101618,-32,-32,-32,5000,5000,3000,0,0,1000,0
12650,500000,2,1,1,38,0,0,0,0,0,0,105587,105478,100026,86265,67539,53676,3627,3059,2670,2331,2406,1645,0
5622,130000,1,3,2,45,0,0,-1,0,-1,-1,13513,11800,2522,1261,390,390,1000,2522,0,390,390,390,0
13464,20000,1,1,2,25,1,-2,-2,-2,-2,-1,0,0,0,0,0,1000,0,0,0,0,1000,0,1
5824,50000,2,3,1,70,2,2,0,0,0,0,54084,51564,50733,30363,30444,30482,0,2504,1200,1500,1100,1301,0
13920,290000,1,2,1,46,0,0,0,0,0,0,196566,168372,171699,133147,135147,127087,7800,7839,4706,5400,4604,4900,0
3491,220000,2,1,2,30,0,0,0,0,0,-1,72546,74618,62379,37137,-669,14069,5206,30176,10258,14000,15070,6029,0
20195,430000,2,5,2,41,-2,-2,-2,-2,-2,-2,2663,20679,6698,2104,888,888,20679,6698,2104,888,888,4232,0
10928,240000,2,2,2,27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
27149,100000,1,1,2,30,2,2,2,0,0,2,33217,34372,33543,34260,36580,37347,2000,0,1580,2900,1500,1600,1
24851,200000,1,1,1,41,-1,-1,-1,2,0,-1,1980,1802,5647,3604,1802,1802,1802,5647,0,0,1802,3829,0
24217,230000,1,1,2,29,2,-1,-1,-2,-2,-1,481,12381,0,0,0,376,12381,0,0,0,376,0,0
21657,160000,2,1,2,27,0,0,0,0,0,0,96441,98353,99864,101900,103924,106101,4406,4000,3699,3719,3851,3880,0
15621,320000,2,1,2,31,0,0,0,0,0,0,77052,65457,62680,62597,60080,55314,3000,3000,3017,2100,3000,3000,0
6143,470000,1,1,2,35,0,0,0,0,0,0,393780,371511,318025,248281,254175,256613,15107,13111,10000,10014,9598,10044,0
29941,50000,1,2,2,45,0,0,0,0,2,0,20638,19834,19387,22574,20483,20121,1314,1340,5000,0,729,793,0
5814,10000,1,3,2,25,-1,-1,-1,-1,-1,-1,3161,390,390,390,0,1280,390,390,390,0,1280,6380,0
27031,260000,1,2,2,29,0,0,0,0,0,2,190074,193244,182514,185491,197985,315366,6847,6846,8186,20000,0,10000,0
14194,340000,2,1,2,42,0,0,0,0,0,0,374245,357516,334316,307974,318240,289763,15917,10126,1000,10521,279000,11000,1
24262,520000,1,1,2,29,0,0,0,0,0,0,464541,388685,280101,184081,108330,89199,15521,10423,7215,4012,3017,3028,0
1832,460000,1,1,2,32,0,0,0,0,0,0,386437,393742,392625,368365,377858,362132,15000,15000,15000,15000,15000,20000,0
8957,480000,2,2,1,37,-1,-1,-1,-1,-1,-1,5269,2217,9731,9272,2718,1498,2217,9731,9272,2718,1498,1138,0
3287,30000,2,1,1,30,2,2,2,3,2,2,12109,12917,13909,13394,13036,15019,1300,1500,0,0,2200,0,1
19948,390000,2,2,2,39,0,-1,-1,0,0,0,27918,3115,278505,288000,264214,266704,3145,278505,15000,9310,10000,9702,0
7298,110000,2,1,1,57,0,0,0,0,0,0,16090,17522,18426,19117,19655,20329,2000,1500,1000,1000,1000,1000,0
5527,30000,1,3,1,52,0,0,0,0,0,0,28889,30050,29797,18464,12235,0,2002,1025,1230,1042,0,0,0
15481,150000,1,1,1,37,-2,-2,-2,-2,-2,-2,22109,10876,10268,5872,3068,2181,10943,10273,5978,3068,2181,3242,1
9324,80000,2,1,1,47,-1,-1,-1,-1,-1,-1,15739,17253,35369,18351,14249,10637,17253,35369,18351,14249,10637,12331,0
17943,80000,1,2,1,35,0,0,0,0,0,0,79875,77201,78535,79296,75274,78051,4000,3500,3322,3000,5007,3000,0
19271,100000,2,2,1,40,0,0,0,0,0,0,89236,90828,83479,73749,68512,72518,3162,3523,3025,2344,5000,3000,0
9891,50000,1,2,1,32,0,0,0,0,0,0,50669,48942,27836,40346,38668,20016,1613,1484,3675,698,1000,706,0
9112,30000,2,2,2,22,0,0,-2,-2,-2,-2,18830,0,0,0,0,0,0,0,0,0,0,0,0
14853,290000,1,2,1,39,0,0,0,0,0,0,209265,215887,220787,223810,228043,234257,10000,10000,8165,9000,10000,7010,0
28388,390000,2,1,1,42,0,0,0,0,0,0,310075,184647,90383,55212,29701,-1429,10021,4000,15046,20000,0,10090,0
2019,50000,2,2,1,36,2,0,0,0,0,0,50922,50367,41627,42297,43031,45837,1715,1991,1661,1566,3526,0,1
9287,80000,2,2,2,34,1,3,2,0,0,-2,84054,82194,78715,26681,0,0,3,5,1075,0,0,0,1
11328,250000,1,1,2,30,0,0,0,0,0,0,6476,10023,12947,16095,23343,26028,5000,5000,4000,10000,4000,5000,0
3298,230000,2,2,2,26,-1,-1,-1,4,3,2,8328,0,600,600,300,150,0,600,0,0,0,686,1
10619,80000,1,2,2,26,-1,0,0,0,0,0,2159,4132,5949,7144,5309,500,2000,2002,2005,15,523,0,0
26640,20000,1,1,2,23,2,2,2,2,2,2,5996,7040,7897,7622,8294,8016,1300,1128,0,800,0,1500,1
22943,80000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
9501,330000,2,1,2,34,0,0,0,0,0,0,173630,178833,187820,190202,194964,199008,8000,12000,7000,8000,7287,7400,0
28195,200000,2,3,1,48,-2,-2,-2,-2,-2,-2,119139,5844,3666,37005,47376,1292,5844,3694,37177,47376,1292,46626,0
4788,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,0
11341,60000,2,1,2,23,0,0,0,0,0,0,27369,27961,28509,28628,28785,28921,1466,1452,1009,1040,1048,856,0
27154,20000,1,2,1,43,2,2,2,2,4,3,14301,17069,17818,20251,19657,19072,3000,1300,3000,0,0,0,1
11750,50000,2,2,2,28,0,0,0,-1,0,0,59321,56454,53278,19437,19845,19911,2329,2353,39886,704,730,656,0
20250,100000,2,2,1,52,0,0,0,0,0,0,39555,40550,41587,42602,43327,47950,1955,1992,2007,1732,5506,0,0
890,150000,2,3,1,34,-1,-1,-1,-1,-1,-1,772,337,618,150,150,377,340,618,150,150,227,0,0
433,580000,2,1,1,36,0,0,0,0,0,0,159760,162189,166127,169365,168755,167964,6422,6565,5951,6006,5894,5946,0
26171,80000,2,2,1,45,0,0,0,0,0,0,67142,68052,68690,70042,70626,71700,2420,2511,2512,2510,2590,2711,0
6534,170000,1,1,1,35,0,0,0,0,0,0,51207,38528,34688,30542,61032,23711,5000,2000,3000,1000,6000,8753,0
21919,50000,2,2,1,25,0,0,0,0,0,0,59010,57593,56203,54794,53509,52021,2039,2015,2000,2100,2000,2100,1
8093,90000,2,1,2,27,0,0,0,0,0,0,14421,18846,22509,24129,24815,27725,5000,4000,2000,1075,3500,3000,1
29888,180000,1,3,1,40,0,0,0,-1,0,0,105918,81091,-1659,111077,112738,115746,4400,0,112736,5000,5300,5000,0
1490,130000,2,4,2,28,0,0,0,0,0,0,36108,34256,36357,37878,39489,41833,3000,3000,2500,3000,3000,2000,0
24516,80000,1,2,1,43,-1,-1,0,0,0,0,435,4495,5333,7136,7599,7554,4495,1500,2500,1000,500,1000,0
3220,310000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,298887,0,0,0,0,298887,0,0,0,0,199417,0
2726,200000,2,2,1,39,0,0,0,0,0,0,178665,133266,95836,85635,66137,30410,3677,2441,1854,1567,5000,1953,0
9812,110000,1,2,1,32,0,0,0,0,0,2,110198,107710,83913,47369,48905,46046,3851,3021,1649,3513,0,1664,0
11375,360000,2,1,2,37,0,0,0,0,0,-1,16600,19190,20384,23255,22495,380,3194,2384,3271,2509,381,2469,0
24860,200000,1,1,2,38,-1,-1,-1,-1,-1,2,3810,3056,8519,776,5335,4536,3063,8568,776,5335,0,664,0
450,380000,1,1,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
17270,230000,2,2,2,30,0,0,0,0,0,0,62988,63056,63741,64096,64473,64927,2847,2303,2284,2280,2345,2333,0
26710,160000,1,3,2,27,2,2,2,-1,0,0,70373,80166,34775,34073,15676,99436,11450,0,142848,1800,90000,3300,1
9179,500000,1,3,1,55,-2,-2,-2,-2,-2,-2,735,-5,-5,1012,500,0,0,0,1017,500,0,1059,0
6668,50000,1,3,1,51,0,0,0,0,0,0,42257,44243,64104,33406,34104,34869,3000,2500,1985,1163,1256,1316,0
14010,240000,1,2,1,39,1,-1,-1,-1,-1,-2,0,1263,-13,1667,-300,-300,1263,0,1680,0,0,1442,0
27696,40000,2,1,2,26,1,2,2,2,0,0,7904,7628,10270,9961,10495,12161,0,2775,0,1000,2000,1800,1
341,50000,1,2,2,36,0,0,0,0,-1,0,5916,6172,4123,680,978,978,1212,1200,0,978,0,0,0
1718,250000,2,2,1,45,-2,-2,-2,-2,-2,-2,100323,37494,41300,0,0,0,2500,5300,0,0,0,0,0
19254,300000,2,2,1,39,-1,-1,-1,-1,-1,-1,6192,4784,6462,456,-2056,5251,4790,6462,456,0,14447,9196,1
1923,360000,2,1,2,30,0,0,0,0,0,0,139762,143515,147037,146117,145884,147645,6000,6000,4818,5000,5000,4500,0
26921,720000,1,1,1,40,0,0,0,0,0,0,308274,209976,158694,148956,135217,85300,8500,6000,6000,5237,3000,8961,1
6533,20000,1,2,2,27,0,-1,0,-1,-1,-2,1955,2530,1845,3169,240,930,2535,1205,3274,630,1080,0,0
25566,290000,2,2,2,25,0,0,0,0,0,0,78719,71559,66658,68627,61578,59274,2510,2500,3000,3000,3000,3000,0
4319,50000,2,3,1,45,0,0,0,-2,-1,-1,4410,4055,0,0,6553,19653,4050,0,0,6553,13100,0,0
12119,20000,2,1,2,22,1,2,2,0,0,2,11087,11712,11164,11395,11927,9186,1100,0,289,594,0,50,0
23181,180000,2,3,2,32,0,0,0,0,0,0,4480,7354,6930,6090,2435,2074,3000,3000,2018,1200,1500,3000,0
26422,210000,2,1,2,40,0,0,0,0,0,0,54904,46662,46162,46039,32903,34534,2000,2100,2000,1500,2000,2000,0
17767,320000,2,3,2,53,0,0,0,0,0,0,188373,281060,261698,265703,175925,188982,276698,11020,11000,9486,20000,10000,0
16693,250000,1,1,2,35,2,2,2,2,2,2,153798,164692,160658,180382,182914,186838,15000,0,24000,7000,7000,6700,1
28636,380000,2,2,1,37,0,0,0,0,0,2,13415,14381,13277,14291,15949,15556,1204,1300,1242,1900,0,3000,0
4489,130000,1,3,2,27,0,0,0,0,0,0,89956,61868,63766,65839,67908,63530,2317,3000,3000,3000,5000,2305,0
19263,150000,2,2,1,37,-2,-2,-2,-2,-2,-2,0,0,0,283,0,0,0,0,283,0,0,0,0
12357,150000,2,1,2,30,-2,-2,-2,-2,-2,-2,12516,5568,6106,4357,0,0,5568,6106,4357,0,0,0,0
23101,290000,2,1,1,36,-2,-2,-2,-2,-2,-2,3602,6107,4536,6074,0,817,6107,4538,6074,0,817,1662,0
9504,360000,1,1,2,29,1,-2,-1,-1,-1,-1,-1808,-1808,6458,825,825,825,0,9091,825,825,825,825,0
8787,320000,2,2,1,39,0,0,0,0,0,0,38332,63396,66871,69339,31525,30861,30000,4700,3000,5000,5000,7000,0
9036,30000,1,3,2,45,0,0,0,0,0,0,28185,28296,23455,24179,24289,24649,1377,1370,1294,1015,900,913,0
10282,120000,2,3,1,47,0,0,0,0,0,0,118148,118593,101152,80503,75407,77157,5033,5000,3007,3000,3000,3000,0
3603,500000,1,1,2,35,1,-1,-1,-1,-1,-1,-453,1168,1215,6461,2567,735,2336,1215,6461,2567,1470,11605,0
28395,80000,2,3,1,43,0,0,0,0,0,0,71604,73316,75039,76597,78712,81365,3500,3500,3400,4000,4000,3000,0
15127,80000,1,2,2,48,0,0,0,0,0,0,74040,74658,72885,47663,48350,47208,3500,2500,2000,2000,2000,2000,0
18379,70000,2,5,1,23,0,0,0,0,0,0,30847,31849,33333,34344,35032,35807,1516,2000,1600,1215,1300,1500,0
29064,240000,2,2,1,55,2,0,0,0,2,0,72188,74270,75959,80473,78883,80625,3000,3200,6100,0,2900,3000,0
29153,20000,2,3,1,56,0,0,0,0,0,0,19774,14990,14071,15512,17081,21108,2009,2000,2000,2000,5016,11,0
7179,160000,1,2,1,62,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
13446,170000,1,1,1,36,-1,-1,-1,-1,-1,-1,2015,2015,2015,2015,2015,1925,2015,2015,2015,2015,1925,2105,0
24419,260000,1,1,1,34,-2,-2,-2,-2,-2,-2,-40,-40,-40,8117,-8,-8,0,0,8157,0,0,1673,0
10918,260000,2,2,1,36,0,0,0,0,0,0,107030,115455,115106,118811,121514,124815,13011,5000,5000,4000,4815,4500,0
18274,420000,1,1,1,51,0,-1,-1,-1,0,0,57815,1000,0,287921,291770,299232,1000,0,288921,10000,21100,0,0
14253,80000,1,2,1,46,0,0,0,0,0,0,79656,80382,61813,30457,30477,30506,3211,2800,1200,1300,1700,1700,0
6464,120000,1,2,2,29,0,0,0,0,0,0,118277,121004,118774,91369,88015,88087,6513,3740,3215,3300,3405,3303,0
8894,90000,1,1,2,29,0,0,0,0,0,0,72774,67584,57985,56268,55970,56825,2900,2700,2200,2100,2200,2200,0
3606,470000,1,1,1,57,0,0,0,0,0,0,83852,85008,83882,66207,65549,60805,3477,4100,2022,2100,2156,1740,0
27669,30000,2,2,2,24,1,2,2,0,0,0,26690,27954,27226,28427,28752,28447,2000,0,2000,1000,1100,1500,0
21815,90000,2,2,2,25,2,0,0,0,0,0,77651,78651,79972,81415,81878,83206,3300,3600,3805,3100,3200,4100,1
5470,140000,1,2,2,27,0,0,0,0,0,0,24050,68059,62503,61129,59089,58160,50000,3000,4000,5000,4000,2000,0
11773,50000,1,2,1,46,0,0,0,0,0,0,48905,49764,36535,32428,15313,16057,1800,1430,1000,1000,1000,1000,0
20509,160000,1,2,2,26,-2,-2,-2,-2,-2,-2,3720,396,396,396,396,1353,396,396,396,396,1353,2423,0
29020,390000,2,2,1,39,0,0,0,0,0,0,359641,283210,240876,190709,191162,195336,11100,13163,8349,6840,7252,7800,0
874,20000,2,3,1,40,-1,-1,-1,-1,-1,-1,2946,0,390,390,390,390,0,390,390,390,390,780,0
27606,60000,2,2,1,24,0,0,0,0,0,0,62786,61764,62254,59586,33190,32243,2212,3100,2000,1111,1122,1208,1
13921,120000,2,2,2,24,0,0,0,0,0,2,112336,113351,115515,113948,122127,121962,4200,4100,4100,10000,4560,0,0
10224,80000,2,3,3,60,0,0,0,0,0,2,30959,15774,9365,6515,6845,5789,1458,1230,250,800,0,300,0
5213,500000,2,2,1,30,-2,-2,-2,-2,-2,-2,344,5757,1820,2308,807,4966,5757,1820,2308,807,4966,3240,0
24506,30000,1,2,2,32,-1,2,2,2,2,2,17578,17988,20374,20738,22253,24748,1000,3000,1000,2170,3000,0,0
10122,50000,1,3,2,23,0,0,0,-1,-1,-1,7965,8404,10240,170,-220,390,1500,2000,170,0,1000,3309,0
28784,260000,2,1,1,36,0,0,2,0,0,0,131971,139305,89200,79702,79025,79997,10000,0,3012,3000,3000,4000,0
29938,30000,1,2,2,38,2,2,2,2,0,0,19992,21055,22120,21471,21598,23241,1700,1700,0,782,2000,1100,0
